image_file,label,score,x_min,y_min,x_max,y_max,bbox_id,detection_id,bbox_list
Christies_2005-04-21_697_01.jpg,object,0.808,32.31,30.89,489.67,486.41,1,Christies_2005-04-21_697_01_01,"[32.31, 30.89, 489.67, 486.41]"
GazetteDrouot_15085424_02.jpg,object,0.847,188.36,255.27,1526.08,1580.57,1,GazetteDrouot_15085424_02_01,"[188.36, 255.27, 1526.08, 1580.57]"
Sothebys_2024-04-24_209_02.jpg,object,0.867,807.51,1707.59,3312.28,3499.23,1,Sothebys_2024-04-24_209_02_01,"[807.51, 1707.59, 3312.28, 3499.23]"
GazetteDrouot_20335226_02.jpg,object,0.63,51.03,45.97,1598.42,1855.05,1,GazetteDrouot_20335226_02_01,"[51.03, 45.97, 1598.42, 1855.05]"
GazetteDrouot_16613455_03.jpg,object,0.814,0.4,0.88,524.39,449.34,1,GazetteDrouot_16613455_03_01,"[0.4, 0.88, 524.39, 449.34]"
Bonhams_2018-04-24_258_01.jpg,object,0.786,255.61,100.33,2921.85,2770.94,1,Bonhams_2018-04-24_258_01_01,"[255.61, 100.33, 2921.85, 2770.94]"
GazetteDrouot_18882041_02.jpg,object,0.853,1.82,132.86,1078.01,1078.28,1,GazetteDrouot_18882041_02_01,"[1.82, 132.86, 1078.01, 1078.28]"
GazetteDrouot_25684320_01.jpg,object,0.892,722.47,214.96,1178.88,1147.28,1,GazetteDrouot_25684320_01_01,"[722.47, 214.96, 1178.88, 1147.28]"
GazetteDrouot_17550277_02.jpg,object,0.889,241.83,137.8,688.1,966.99,1,GazetteDrouot_17550277_02_01,"[241.83, 137.8, 688.1, 966.99]"
Sothebys_2007-10-24_142_01.jpg,object,0.792,98.97,120.67,2770.08,2749.88,1,Sothebys_2007-10-24_142_01_01,"[98.97, 120.67, 2770.08, 2749.88]"
GazetteDrouot_29526348_01.jpg,object,0.852,617.79,72.72,1302.82,1203.51,1,GazetteDrouot_29526348_01_01,"[617.79, 72.72, 1302.82, 1203.51]"
GazetteDrouot_17317456_01.jpg,object,0.86,131.33,269.31,1198.66,806.73,1,GazetteDrouot_17317456_01_01,"[131.33, 269.31, 1198.66, 806.73]"
GazetteDrouot_9092723_01.jpg,object,0.888,358.11,40.02,557.53,552.89,1,GazetteDrouot_9092723_01_01,"[358.11, 40.02, 557.53, 552.89]"
Bonhams_2024-05-08_293_04.jpg,object,0.476,5.58,4.36,2866.24,2872.4,1,Bonhams_2024-05-08_293_04_01,"[5.58, 4.36, 2866.24, 2872.4]"
Bonhams_2024-05-08_293_04.jpg,object,0.467,1500.96,1372.09,2758.1,2679.45,2,Bonhams_2024-05-08_293_04_02,"[1500.96, 1372.09, 2758.1, 2679.45]"
GazetteDrouot_16613455_06.jpg,object,0.73,115.03,-0.11,585.28,699.88,1,GazetteDrouot_16613455_06_01,"[115.03, -0.11, 585.28, 699.88]"
Bonhams_2007-03-14_309_01.jpg,object,0.704,274.03,663.2,1756.44,2140.61,1,Bonhams_2007-03-14_309_01_01,"[274.03, 663.2, 1756.44, 2140.61]"
GazetteDrouot_3727478_01.jpg,object,0.854,16.08,30.89,637.41,496.44,1,GazetteDrouot_3727478_01_01,"[16.08, 30.89, 637.41, 496.44]"
GazetteDrouot_22964295_03.jpg,object,0.892,332.71,224.62,897.61,1268.99,1,GazetteDrouot_22964295_03_01,"[332.71, 224.62, 897.61, 1268.99]"
GazetteDrouot_20473308_02.jpg,object,0.871,144.21,1.01,1827.14,1200.36,1,GazetteDrouot_20473308_02_01,"[144.21, 1.01, 1827.14, 1200.36]"
GazetteDrouot_19571572_03.jpg,object,0.854,78.49,19.74,1767.7,1254.27,1,GazetteDrouot_19571572_03_01,"[78.49, 19.74, 1767.7, 1254.27]"
GazetteDrouot_15511691_01.jpg,object,0.767,344.93,208.78,1143.83,1318.81,1,GazetteDrouot_15511691_01_01,"[344.93, 208.78, 1143.83, 1318.81]"
GazetteDrouot_8162682_01.jpg,object,0.724,463.27,132.94,839.84,492.62,1,GazetteDrouot_8162682_01_01,"[463.27, 132.94, 839.84, 492.62]"
GazetteDrouot_8162682_01.jpg,object,0.73,58.28,133.51,434.07,493.55,2,GazetteDrouot_8162682_01_02,"[58.28, 133.51, 434.07, 493.55]"
Bonhams_2020-08-13_81_01.jpg,object,0.822,347.89,313.61,2746.17,2694.71,1,Bonhams_2020-08-13_81_01_01,"[347.89, 313.61, 2746.17, 2694.71]"
GazetteDrouot_22964295_04.jpg,object,0.892,316.18,-0.01,1202.13,1107.09,1,GazetteDrouot_22964295_04_01,"[316.18, -0.01, 1202.13, 1107.09]"
Bonhams_2024-05-08_293_03.jpg,object,0.526,2.84,2.4,2883.14,2874.51,1,Bonhams_2024-05-08_293_03_01,"[2.84, 2.4, 2883.14, 2874.51]"
Bonhams_2024-05-08_293_03.jpg,object,0.449,39.71,1377.55,1318.18,2657.66,2,Bonhams_2024-05-08_293_03_02,"[39.71, 1377.55, 1318.18, 2657.66]"
Christies_2013-10-08_95_01.jpg,object,0.787,383.42,301.17,1337.97,2885.3,1,Christies_2013-10-08_95_01_01,"[383.42, 301.17, 1337.97, 2885.3]"
Christies_2013-10-08_95_01.jpg,object,0.779,1553.69,280.01,2514.49,2846.29,2,Christies_2013-10-08_95_01_02,"[1553.69, 280.01, 2514.49, 2846.29]"
GazetteDrouot_8596751_01.jpg,object,0.745,18.43,117.78,388.82,487.6,1,GazetteDrouot_8596751_01_01,"[18.43, 117.78, 388.82, 487.6]"
Sothebys_2023-03-25_391_01.jpg,object,0.879,608.01,124.73,1523.05,1855.37,1,Sothebys_2023-03-25_391_01_01,"[608.01, 124.73, 1523.05, 1855.37]"
Sothebys_2025-04-30_684_01.jpg,object,0.804,840.91,941.85,1935.29,3193.75,1,Sothebys_2025-04-30_684_01_01,"[840.91, 941.85, 1935.29, 3193.75]"
Sothebys_2025-04-30_684_01.jpg,object,0.793,2127.78,935.24,3210.13,3213.79,2,Sothebys_2025-04-30_684_01_02,"[2127.78, 935.24, 3210.13, 3213.79]"
Christies_2016-04-22_416_01.jpg,object,0.769,1643.58,447.16,3037.44,2821.88,1,Christies_2016-04-22_416_01_01,"[1643.58, 447.16, 3037.44, 2821.88]"
Christies_2016-04-22_416_01.jpg,object,0.777,422.97,365.19,1690.31,2516.0,2,Christies_2016-04-22_416_01_02,"[422.97, 365.19, 1690.31, 2516.0]"
GazetteDrouot_15883132_01.jpg,object,0.756,172.65,186.93,1730.15,1764.21,1,GazetteDrouot_15883132_01_01,"[172.65, 186.93, 1730.15, 1764.21]"
GazetteDrouot_21232924_09.jpg,object,0.483,33.78,31.91,1635.91,1633.75,1,GazetteDrouot_21232924_09_01,"[33.78, 31.91, 1635.91, 1633.75]"
GazetteDrouot_10399514_01.jpg,object,0.842,55.48,79.68,468.5,490.15,1,GazetteDrouot_10399514_01_01,"[55.48, 79.68, 468.5, 490.15]"
GazetteDrouot_25928355_02.jpg,object,0.877,39.08,96.01,1616.18,1480.67,1,GazetteDrouot_25928355_02_01,"[39.08, 96.01, 1616.18, 1480.67]"
GazetteDrouot_22964295_06.jpg,object,0.504,473.66,213.72,799.02,578.88,1,GazetteDrouot_22964295_06_01,"[473.66, 213.72, 799.02, 578.88]"
GazetteDrouot_9674026_02.jpg,object,0.834,272.76,35.45,632.77,579.08,1,GazetteDrouot_9674026_02_01,"[272.76, 35.45, 632.77, 579.08]"
GazetteDrouot_25187308_01.jpg,object,0.866,380.16,93.37,1097.99,1436.01,1,GazetteDrouot_25187308_01_01,"[380.16, 93.37, 1097.99, 1436.01]"
Sothebys_2023-03-25_391_02.jpg,object,0.88,614.35,110.63,1517.45,1834.21,1,Sothebys_2023-03-25_391_02_01,"[614.35, 110.63, 1517.45, 1834.21]"
GazetteDrouot_27130926_01.jpg,object,0.893,250.61,113.23,1260.43,1437.42,1,GazetteDrouot_27130926_01_01,"[250.61, 113.23, 1260.43, 1437.42]"
GazetteDrouot_10841373_01.jpg,object,0.848,80.67,69.65,363.19,509.23,1,GazetteDrouot_10841373_01_01,"[80.67, 69.65, 363.19, 509.23]"
Bonhams_2012-03-20_185_01.jpg,object,0.797,243.47,964.31,1142.1,2163.79,1,Bonhams_2012-03-20_185_01_01,"[243.47, 964.31, 1142.1, 2163.79]"
Bonhams_2012-03-20_185_01.jpg,object,0.768,1187.18,1128.99,2002.85,2146.04,2,Bonhams_2012-03-20_185_01_02,"[1187.18, 1128.99, 2002.85, 2146.04]"
Sothebys_2020-10-27_506_01.jpg,object,0.793,86.88,63.9,1966.81,1921.17,1,Sothebys_2020-10-27_506_01_01,"[86.88, 63.9, 1966.81, 1921.17]"
Christies_2016-04-22_418_01.jpg,object,0.871,395.78,378.15,2010.47,2822.66,1,Christies_2016-04-22_418_01_01,"[395.78, 378.15, 2010.47, 2822.66]"
GazetteDrouot_27453062_03.jpg,object,0.741,387.22,44.76,720.67,685.13,1,GazetteDrouot_27453062_03_01,"[387.22, 44.76, 720.67, 685.13]"
GazetteDrouot_27453062_03.jpg,object,0.752,47.58,40.96,378.86,688.72,2,GazetteDrouot_27453062_03_02,"[47.58, 40.96, 378.86, 688.72]"
GazetteDrouot_25928355_04.jpg,object,0.879,34.09,87.95,1684.61,1188.54,1,GazetteDrouot_25928355_04_01,"[34.09, 87.95, 1684.61, 1188.54]"
Sothebys_2009-10-07_255_01.jpg,object,0.87,564.07,527.89,2271.06,2572.72,1,Sothebys_2009-10-07_255_01_01,"[564.07, 527.89, 2271.06, 2572.72]"
GazetteDrouot_27453062_06.jpg,object,0.674,1.76,13.39,765.69,766.46,1,GazetteDrouot_27453062_06_01,"[1.76, 13.39, 765.69, 766.46]"
Christies_2020-06-25_10_02.jpg,object,0.863,167.35,166.07,2469.72,3073.3,1,Christies_2020-06-25_10_02_01,"[167.35, 166.07, 2469.72, 3073.3]"
